transaction_id,account_id,amount,transaction_date,merchant_id
80,424,-199.5,2024-01-01,19
81,253,589.67,2022-01-28,15
82,519,970.38,2023-02-04,16
83,255,-256.34,2022-08-04,20
84,209,765.1,2023-03-20,10
85,462,689.22,2022-12-14,18
86,678,920.61,2022-12-28,16
87,213,-113.41,2022-09-09,14
88,497,-124.79,2023-04-14,14
89,693,207.95,2023-07-12,18
90,700,451.4,2023-10-27,15
91,511,126.2,2022-08-29,19
92,549,643.5,2022-03-08,12
93,297,695.8,2022-03-25,16
94,301,-210.42,2022-05-14,15
95,164,-350.43,2023-07-29,20
96,642,56.41,2022-04-02,10
97,525,-325.22,2023-01-14,19
98,198,-476.63,2022-08-19,18
99,489,-77.5,2023-03-07,15
100,602,472.77,2022-05-10,17
101,283,443.69,2022-03-15,10
102,442,431.43,2023-10-08,14
103,605,533.83,2022-11-23,16
104,158,230.22,2022-02-06,17
105,136,-151.03,2023-08-29,10
106,298,367.69,2023-07-26,17
107,390,114.29,2022-01-17,13
108,375,558.42,2023-06-16,15
109,246,824.83,2022-07-18,18
110,174,-439.93,2022-08-04,20
111,465,-270.71,2022-10-13,13
112,442,-208.61,2023-09-28,14
113,694,313.7,2023-07-05,17
114,549,616.08,2023-02-08,14
115,454,784.22,2022-09-24,18
116,257,-116.97,2022-10-01,13
117,534,485.94,2022-05-13,12
118,197,278.1,2022-01-25,12
119,590,-388.2,2022-12-30,14
120,468,220.07,2022-05-11,19
121,567,716.5,2022-07-15,18
122,521,-260.97,2022-06-10,14
123,574,908.4,2022-01-31,19
124,592,875.49,2022-09-20,10
125,592,-454.16,2022-10-03,16
126,242,208.63,2023-07-23,11
127,628,301.43,2022-06-21,14
128,110,-106.1,2022-03-14,20
129,234,-116.73,2023-02-04,13
130,369,-275.41,2022-07-31,14
131,606,725.36,2023-05-03,10
132,693,-296.71,2023-02-26,12
133,391,603.99,2022-03-27,18
134,454,-246.55,2023-10-14,13
135,581,393.95,2022-10-22,17
136,575,921.89,2023-06-11,17
137,571,-268.54,2023-03-09,18
138,145,220.4,2023-07-25,19
139,664,15.92,2022-03-23,17
140,659,-288.92,2023-11-17,12
141,624,607.33,2023-01-14,10
142,511,217.28,2023-04-22,18
143,150,238.84,2023-09-14,20
144,639,419.39,2022-03-19,12
145,119,-100.4,2023-09-24,17
146,421,887.59,2023-03-04,12
147,454,506.32,2023-10-03,13
148,288,740.83,2023-01-29,17
149,574,439.26,2023-05-26,14
150,262,-441.05,2023-10-26,11
151,181,-468.95,2022-10-29,15
152,198,608.84,2022-02-07,17
153,635,250.56,2023-05-13,10
154,125,599.95,2022-11-30,10
155,610,560.5,2023-03-02,15
156,581,142.97,2022-11-22,17
157,676,-413.04,2023-09-03,15
158,272,433.96,2022-11-03,19
159,350,53.89,2023-03-14,19
160,239,278.69,2023-03-13,18
161,469,-391.07,2023-11-14,15
162,500,355.71,2023-05-01,10
163,119,206.69,2022-08-01,14
164,531,900.78,2022-10-21,11
165,226,366.04,2023-07-22,11
166,517,416.15,2023-12-27,16
167,565,-161.86,2022-05-03,16
168,121,-153.07,2023-04-18,19
169,155,-52.92,2023-11-23,16
170,595,703.74,2022-03-17,17
171,394,133.72,2022-07-22,10
172,363,-431.54,2023-01-02,10
173,290,379.43,2022-01-14,11
174,478,891.68,2022-11-03,12
175,173,686.03,2023-03-03,18
176,183,-163.66,2022-02-02,15
177,279,630.76,2022-09-06,11
178,559,-443.13,2023-02-08,18
179,665,-218.27,2023-11-05,12
180,642,-407.59,2023-11-16,12
181,598,111.06,2023-08-23,17
182,518,949.52,2022-07-03,20
183,381,884.72,2022-04-30,10
184,589,-405.68,2023-11-22,10
185,663,560.36,2023-06-18,15
186,294,17.26,2023-03-27,17
187,528,-140.67,2022-11-21,18
188,658,822.76,2023-12-03,20
189,695,-171.1,2023-05-07,19
190,308,-109.28,2022-03-04,14
191,508,841.96,2022-11-04,19
192,696,238.58,2023-12-15,18
193,555,47.24,2022-01-21,20
194,122,-345.32,2023-05-22,10
195,489,-449.31,2023-05-31,14
196,297,38.28,2023-02-19,16
197,204,673.49,2022-09-05,15
198,469,-246.71,2022-10-07,11
199,611,-365.17,2022-05-10,12
200,605,163.34,2022-05-19,12
201,356,774.21,2022-02-24,19
202,655,519.03,2023-10-09,15
203,614,-459.08,2022-03-25,11
204,300,608.51,2023-12-12,19
205,196,634.92,2023-03-22,20
206,102,133.36,2023-08-23,13
207,305,533.88,2022-12-22,13
208,384,-465.9,2022-10-22,13
209,659,406.49,2022-12-07,11
210,692,620.38,2023-06-24,15
211,187,56.69,2022-07-02,12
212,545,318.39,2022-04-25,20
213,471,630.67,2023-05-08,10
214,268,131.81,2023-02-26,15
215,650,-286.76,2023-07-13,17
216,486,-374.84,2022-01-23,16
217,145,-50.86,2022-11-21,11
218,437,32.29,2022-01-17,13
219,309,958.45,2022-11-29,20
220,309,604.92,2022-05-22,18
221,462,-11.54,2022-12-12,20
222,536,13.91,2024-01-01,13
223,320,-448.12,2022-09-25,12
224,679,241.55,2022-07-24,19
225,490,161.25,2022-05-16,15
226,627,791.3,2022-04-09,11
227,323,692.76,2022-09-10,16
228,661,779.91,2023-09-04,12
229,290,218.12,2022-07-03,16
230,599,-149.88,2022-09-09,16
231,165,521.22,2022-03-10,20
232,299,974.59,2022-09-06,17
233,467,233.87,2022-09-15,20
234,335,607.29,2023-04-05,17
235,604,525.39,2023-01-27,19
236,206,700.78,2023-07-19,18
237,254,882.42,2022-07-26,14
238,209,423.72,2022-05-11,14
239,176,11.94,2022-11-22,12
240,586,-256.26,2023-05-12,15
241,600,-463.73,2022-09-29,19
242,383,492.28,2022-03-11,11
243,277,41.65,2023-10-19,11
244,669,304.71,2022-07-31,20
245,352,-230.64,2022-10-10,17
246,124,-192.47,2023-01-05,17
247,585,-109.14,2022-07-14,20
248,557,-371.71,2022-10-30,11
249,621,841.56,2023-05-18,19
250,303,415.12,2022-08-30,13
251,263,996.19,2022-05-28,14
252,361,970.09,2023-01-10,16
253,545,-375.62,2022-08-20,17
254,397,905.82,2022-07-11,12
255,405,-496.29,2022-11-30,13
256,247,-433.28,2023-06-01,12
257,607,845.57,2023-04-07,12
258,691,274.61,2023-01-25,13
259,296,290.5,2022-05-15,10
260,494,444.19,2022-06-21,17
261,655,-208.97,2023-06-10,11
262,631,134.2,2022-10-05,18
263,319,655.94,2022-02-17,19
264,291,678.64,2023-01-11,20
265,237,-54.66,2023-08-31,20
266,563,394.0,2023-03-15,11
267,273,-459.44,2022-02-01,12
268,609,-53.98,2022-03-19,12
269,436,295.87,2022-09-23,11
270,505,559.17,2023-04-03,13
271,478,398.81,2022-05-30,13
272,242,379.33,2022-03-23,14
273,128,-221.14,2023-01-11,17
274,552,721.38,2022-06-26,10
275,469,-49.0,2023-05-23,14
276,169,212.56,2023-12-19,20
277,385,655.25,2022-07-02,11
278,385,726.88,2022-03-24,18
279,147,388.64,2022-03-29,13
280,367,115.54,2023-10-10,11
281,336,836.36,2022-04-11,20
282,532,-16.22,2023-05-10,11
283,660,333.94,2023-12-31,11
284,298,483.49,2022-10-23,19
285,398,347.14,2023-10-15,11
286,688,-451.15,2023-06-18,20
287,119,-136.34,2023-09-30,18
288,129,604.31,2022-09-16,16
289,134,746.4,2022-11-30,18
290,337,945.56,2023-12-28,10
291,180,461.45,2023-02-02,13
292,511,663.43,2023-11-19,14
293,244,-329.64,2022-10-27,19
294,107,-319.34,2022-07-20,11
295,479,34.91,2022-10-17,13
296,320,5.38,2023-04-21,11
297,424,107.46,2023-10-24,16
298,172,225.04,2022-06-27,20
299,444,373.23,2023-07-05,16
300,410,474.66,2022-12-27,15
301,700,-347.41,2023-08-09,20
302,338,484.48,2023-10-21,10
303,656,832.33,2023-03-19,15
304,694,651.31,2023-03-08,16
305,657,-350.21,2023-07-23,18
306,339,825.16,2022-02-23,20
307,299,878.51,2022-06-26,20
308,373,-466.68,2023-12-14,20
309,491,446.15,2022-07-09,17
310,526,-459.99,2023-07-19,16
311,630,802.27,2023-05-31,12
312,244,503.49,2022-09-19,11
313,126,-458.25,2022-04-10,13
314,134,-217.69,2023-12-14,16
315,165,-456.92,2022-08-06,13
316,369,610.07,2023-03-02,19
317,253,751.03,2022-02-26,13
318,593,455.06,2022-02-14,12
319,511,742.48,2022-08-17,17
320,576,-141.2,2022-03-23,16
321,307,-419.66,2022-12-16,11
322,102,146.4,2023-11-11,19
323,665,148.69,2022-03-06,16
324,615,-303.6,2023-09-15,16
325,536,-457.42,2023-07-12,12
326,563,-202.06,2023-07-31,12
327,346,328.15,2022-08-15,12
328,492,749.55,2022-03-07,16
329,699,763.3,2022-01-25,19
330,478,-318.76,2022-04-26,15
331,622,617.45,2023-11-07,14
332,226,-378.92,2022-07-30,16
333,321,35.99,2023-02-14,10
334,287,221.07,2022-07-19,13
335,186,866.98,2023-10-19,14
336,467,380.29,2022-03-18,15
337,693,436.64,2023-11-26,10
338,566,-249.18,2023-03-18,18
339,258,-247.25,2022-12-16,13
340,548,373.73,2022-02-28,19
341,121,991.47,2022-01-26,19
342,118,-493.07,2023-03-10,12
343,451,534.17,2023-10-17,19
344,524,-254.8,2022-09-15,16
345,173,-166.72,2022-11-19,10
346,630,359.0,2022-11-06,17
347,556,98.51,2023-07-28,18
348,239,-123.07,2023-07-31,15
349,639,-451.35,2023-03-27,19
350,611,875.87,2022-05-09,12
351,197,163.22,2022-07-27,11
352,253,850.56,2022-02-11,15
353,182,985.5,2022-10-12,11
354,132,481.41,2022-07-15,14
355,641,-314.49,2022-11-20,15
356,646,217.49,2022-06-30,12
357,166,691.72,2022-10-14,10
358,220,300.09,2022-01-23,18
359,225,436.52,2023-11-19,17
360,623,-104.06,2023-07-18,17
361,304,470.65,2022-06-16,16
362,445,-401.57,2023-10-18,17
363,554,-384.83,2023-02-22,16
364,666,696.86,2022-01-25,16
365,154,-470.88,2022-04-20,10
366,326,-384.69,2023-08-20,17
367,636,607.25,2023-05-26,20
368,546,699.4,2022-06-24,19
369,499,371.46,2023-06-25,12
370,394,684.82,2022-09-26,16
371,620,306.04,2022-04-16,20
372,474,179.13,2022-08-09,13
373,660,584.79,2023-02-27,17
374,217,785.7,2022-10-06,18
375,177,939.57,2023-05-13,20
376,501,387.8,2022-10-03,20
377,341,588.47,2022-06-22,11
378,690,-22.3,2023-11-19,11
379,124,269.07,2023-03-22,19
380,397,-337.36,2023-11-27,12
381,635,592.09,2022-04-16,19
382,119,395.48,2023-02-04,19
383,394,-423.91,2022-12-27,10
384,694,648.11,2022-06-18,12
385,642,644.98,2023-09-21,18
386,636,816.36,2022-02-15,18
387,365,-376.36,2023-07-26,11
388,646,986.43,2023-07-01,15
389,685,-494.98,2023-05-05,14
390,215,324.46,2023-12-28,15
391,268,-290.82,2023-06-08,18
392,603,718.48,2022-07-14,16
393,680,771.68,2023-12-08,10
394,350,275.27,2023-11-08,10
395,575,266.48,2022-03-18,19
396,114,217.97,2022-02-13,11
397,646,475.87,2023-11-29,15
398,167,201.83,2022-10-10,10
399,242,787.34,2022-01-22,18
400,218,830.99,2022-01-31,17
401,251,598.64,2022-11-10,15
402,445,474.05,2023-02-28,18
403,249,992.84,2023-10-06,17
404,515,-141.48,2022-05-09,11
405,568,-414.63,2023-09-05,10
406,199,519.64,2022-01-28,15
407,238,96.88,2023-12-10,13
408,685,784.95,2022-05-20,12
409,548,-6.86,2023-06-30,11
410,698,578.88,2022-05-15,16
411,522,715.6,2023-10-05,10
412,295,-113.06,2022-02-18,20
413,333,669.08,2023-11-10,18
414,260,-332.09,2023-12-20,16
415,503,327.17,2022-11-21,13
416,696,872.27,2023-01-06,17
417,655,71.7,2023-02-24,14
418,656,130.3,2022-10-12,16
419,392,834.52,2022-07-20,20
420,665,576.66,2022-05-25,17
421,669,899.85,2023-03-05,19
422,443,561.89,2023-05-13,18
423,680,926.49,2022-02-15,14
424,472,301.81,2023-03-03,10
425,482,-46.78,2023-08-06,17
426,689,122.73,2023-02-13,14
427,442,441.3,2022-08-08,19
428,403,-216.46,2023-07-12,17
429,423,518.96,2022-01-16,19
430,131,562.51,2022-10-26,10
431,552,911.65,2023-02-06,16
432,320,99.63,2023-02-19,20
433,400,609.96,2022-05-29,11
434,480,661.93,2022-02-10,18
435,590,797.7,2022-06-19,13
436,575,-98.49,2023-09-20,19
437,284,657.91,2023-10-13,18
438,368,151.38,2023-02-11,12
439,637,151.18,2023-09-08,20
440,460,407.84,2022-11-29,10
441,407,798.71,2023-01-25,20
442,385,641.53,2022-10-03,14
443,402,-496.77,2022-06-02,18
444,142,-202.03,2022-11-12,11
445,609,941.63,2022-01-09,14
446,223,991.56,2022-08-28,11
447,576,-49.44,2023-05-22,11
448,415,874.29,2022-01-19,12
449,343,294.76,2022-03-14,20
450,308,431.06,2023-03-04,14
451,426,-41.82,2022-06-15,15
452,596,-484.99,2023-01-27,11
453,165,-422.55,2022-07-12,20
454,195,-454.13,2023-03-03,13
455,658,598.39,2023-07-18,18
456,425,281.65,2022-03-29,10
457,533,-177.76,2023-04-02,11
458,587,966.84,2022-01-20,16
459,385,476.03,2022-10-17,16
460,278,-65.24,2022-09-27,18
461,431,-374.8,2023-05-16,17
462,573,31.07,2022-09-04,18
463,347,825.7,2023-10-26,10
464,371,499.97,2023-07-05,20
465,431,-40.42,2022-06-19,10
466,657,941.54,2022-10-10,19
467,202,901.45,2023-11-03,11
468,184,801.11,2022-10-11,20
469,314,252.68,2023-04-01,20
470,125,-32.04,2022-03-11,10
471,136,552.22,2023-08-31,20
472,477,13.21,2022-06-21,10
473,607,-195.41,2022-11-24,14
474,352,-130.22,2022-02-23,19
475,376,165.02,2023-02-03,16
476,526,97.55,2023-04-24,14
477,254,459.31,2023-09-09,12
478,677,-113.98,2022-05-19,13
479,635,396.26,2023-10-30,15
480,658,22.29,2023-12-30,14
481,146,170.54,2022-08-26,14
482,694,640.2,2022-09-18,18
483,328,284.92,2023-09-12,17
484,295,-190.89,2023-07-10,14
485,350,626.19,2022-06-25,14
486,180,814.58,2023-12-04,13
487,247,707.93,2023-07-19,16
488,256,452.9,2023-07-29,20
489,454,720.16,2022-08-04,11
490,246,337.0,2023-04-06,18
491,136,864.91,2023-07-23,14
492,635,-135.09,2022-11-09,20
493,571,396.42,2023-01-31,20
494,560,243.89,2022-05-15,12
495,607,806.43,2022-12-22,12
496,177,714.18,2022-05-07,11
497,423,260.94,2022-05-29,14
498,139,-72.72,2022-03-12,15
499,538,243.6,2023-09-19,10
500,289,299.21,2023-08-17,18
501,360,-250.28,2023-08-29,15
502,353,-125.68,2022-03-11,10
503,148,574.66,2023-03-08,20
504,547,-78.4,2023-02-17,13
505,370,35.23,2022-11-04,10
506,597,698.55,2022-08-14,18
507,410,-90.04,2022-05-21,17
508,593,868.59,2022-07-11,18
509,114,355.66,2022-09-08,11
510,520,-403.04,2022-07-28,18
511,473,-351.68,2023-01-20,16
512,583,-123.05,2023-12-10,17
513,385,495.45,2022-06-29,18
514,248,651.25,2022-02-02,19
515,361,421.3,2022-05-07,17
516,546,461.1,2023-01-06,15
517,142,255.0,2022-03-27,15
518,627,595.91,2022-10-03,11
519,516,346.68,2022-07-02,17
520,578,-94.55,2023-12-15,17
521,232,-450.65,2022-09-15,15
522,598,610.55,2022-01-30,14
523,469,208.78,2022-02-11,16
524,425,771.13,2023-09-10,17
525,645,-253.08,2022-11-21,11
526,172,-336.37,2022-11-18,16
527,275,540.8,2023-10-03,16
528,188,876.39,2022-07-15,10
529,595,-50.51,2023-06-04,17
530,589,667.31,2023-08-12,18
531,106,15.64,2022-06-24,12
532,270,883.06,2023-04-27,11
533,229,639.68,2023-03-07,19
534,338,-231.55,2023-05-02,13
535,544,330.7,2023-07-04,14
536,540,690.97,2023-08-20,17
537,253,-26.17,2023-08-11,15
538,544,979.44,2023-07-17,15
539,402,230.21,2023-03-01,11
540,692,-140.47,2023-12-20,10
541,295,-400.52,2023-01-17,15
542,404,756.35,2022-01-07,20
543,680,470.65,2022-01-19,19
544,142,-110.8,2022-12-29,10
545,339,616.58,2023-06-07,20
546,203,568.52,2022-08-12,13
547,559,-97.51,2023-03-26,12
548,136,212.99,2022-03-26,20
549,372,146.27,2023-12-07,10
550,233,535.92,2023-01-27,13
551,567,620.55,2022-11-17,12
552,349,169.99,2022-06-04,19
553,150,207.26,2022-07-04,13
554,474,-462.51,2022-04-30,14
555,174,509.07,2023-10-06,12
556,328,-207.88,2023-04-03,11
557,472,-15.34,2023-12-05,15
558,625,16.03,2022-09-22,11
559,495,200.69,2022-05-25,13
560,642,157.57,2023-03-01,13
561,327,565.94,2022-09-18,12
562,543,176.33,2022-04-09,10
563,501,-24.95,2023-03-19,18
564,307,295.28,2022-05-15,11
565,219,-455.78,2023-11-10,20
566,499,694.68,2023-09-17,12
567,218,481.14,2022-05-06,15
568,461,-8.3,2023-05-19,11
569,683,-138.72,2023-08-31,18
570,377,-6.75,2023-10-31,13
571,196,550.96,2022-06-07,16
572,533,241.42,2023-09-19,19
573,458,-391.3,2023-03-06,11
574,509,712.23,2022-11-01,13
575,465,164.51,2022-07-22,13
576,157,-366.39,2023-05-13,20
577,687,-405.33,2023-12-25,14
578,426,128.21,2022-11-14,14
579,675,-363.92,2023-05-14,10
580,125,555.3,2023-05-07,19
581,609,-243.12,2022-08-11,13
582,231,-323.27,2022-06-02,17
583,242,-396.89,2023-04-26,12
584,409,-474.16,2022-10-06,10
585,521,-130.34,2023-01-11,10
586,372,273.65,2022-01-31,12
587,505,581.79,2022-05-31,20
588,224,-458.11,2022-10-26,17
589,128,-70.59,2022-08-27,10
590,571,574.34,2022-09-28,11
591,132,-129.36,2023-07-25,18
592,579,-164.84,2022-12-08,12
593,125,49.26,2022-06-24,12
594,609,-293.16,2023-07-19,12
595,307,217.98,2022-03-29,20
596,252,98.2,2023-03-14,10
597,499,578.89,2023-08-06,18
598,373,-113.21,2023-08-25,20
599,154,112.91,2023-12-17,18
600,306,-379.18,2023-10-13,11
601,416,561.41,2023-06-03,16
602,468,632.2,2023-10-18,14
603,600,731.33,2023-10-08,17
604,320,769.67,2023-02-16,19
605,507,-217.3,2022-04-02,10
606,139,-25.01,2023-01-25,19
607,376,813.27,2023-05-22,18
608,464,581.78,2023-08-03,13
609,412,-72.5,2023-05-27,18
610,260,333.13,2023-07-28,14
611,307,-162.61,2023-11-03,20
612,118,-16.06,2023-12-30,11
613,477,-479.94,2022-05-03,19
614,443,-274.08,2022-12-29,11
615,421,667.81,2023-10-09,10
616,597,467.11,2023-05-18,15
617,541,-277.92,2022-03-13,18
618,504,673.63,2023-06-23,11
619,401,165.39,2023-03-01,13
620,308,-489.54,2023-12-16,19
621,393,831.85,2022-04-14,17
622,293,417.82,2023-01-01,11
623,192,907.03,2023-07-28,17
624,543,217.92,2022-11-20,16
625,694,596.45,2023-10-18,17
626,431,-277.14,2022-08-26,19
627,582,474.85,2022-10-15,12
628,417,821.03,2022-09-30,20
629,371,898.12,2022-09-14,13
630,584,-391.11,2023-07-04,20
631,120,292.75,2023-12-10,11
632,673,68.97,2023-09-23,11
633,587,614.03,2023-03-23,13
634,229,-475.97,2023-03-26,13
635,564,465.11,2023-11-14,15
636,308,704.45,2023-12-26,16
637,354,-187.02,2022-04-30,19
638,504,530.43,2023-11-04,20
639,619,293.73,2023-09-07,15
640,493,876.03,2022-11-09,19
641,544,-428.96,2022-05-03,10
642,513,362.3,2022-06-28,16
643,636,300.49,2023-01-29,13
644,437,830.14,2023-04-14,12
645,215,-87.49,2023-11-25,13
646,388,750.84,2022-01-03,17
647,580,-123.04,2023-09-14,14
648,555,858.7,2023-04-12,18
649,555,765.57,2023-01-06,17
650,141,402.98,2023-04-26,17
651,668,-398.59,2022-05-06,11
652,306,493.67,2023-07-01,11
653,332,-99.41,2022-11-06,10
654,128,403.58,2023-03-11,19
655,508,200.34,2022-01-07,20
656,473,786.61,2023-01-28,10
657,243,497.96,2023-02-02,13
658,160,-136.34,2022-06-03,16
659,340,554.15,2022-01-27,20
660,295,-56.12,2023-04-16,18
661,311,-183.97,2023-01-05,10
662,323,563.73,2023-10-16,19
663,697,814.97,2022-12-29,14
664,695,-257.33,2023-07-13,12
665,442,234.85,2022-04-03,12
666,566,753.3,2022-03-14,15
667,129,838.26,2022-07-10,19
668,520,934.12,2023-05-28,17
669,538,746.97,2022-02-28,13
670,521,-237.73,2022-11-05,15
671,105,97.22,2023-08-11,20
672,212,921.23,2023-11-19,19
673,468,249.89,2022-07-22,17
674,574,-183.27,2023-09-08,18
675,450,116.4,2023-09-19,14
676,342,763.31,2023-05-02,19
677,159,-184.29,2023-12-19,14
678,112,-400.75,2023-04-06,15
679,137,675.85,2022-01-25,18
680,388,886.99,2022-03-04,11
681,464,497.07,2022-03-07,15
682,506,-224.53,2023-09-02,10
683,690,-463.51,2022-05-24,16
684,107,979.33,2023-12-28,17
685,340,-316.61,2022-03-18,15
686,288,35.19,2022-02-04,19
687,234,721.4,2022-11-12,15
688,515,781.99,2022-10-16,13
689,126,407.95,2023-04-22,15
690,583,121.91,2022-05-03,15
691,458,853.38,2022-11-04,13
692,623,-363.86,2023-02-11,17
693,390,133.02,2022-08-20,17
694,258,698.05,2023-02-20,10
695,362,-220.82,2022-08-26,13
696,497,-342.86,2022-05-25,11
697,358,-473.54,2022-08-25,12
698,639,282.63,2024-01-01,16
699,146,789.62,2023-03-22,17
700,650,822.28,2022-05-09,19
701,409,434.26,2023-09-19,18
702,584,164.24,2022-03-28,17
703,341,754.29,2022-12-29,18
704,154,627.57,2022-01-10,19
705,634,-50.6,2022-03-07,14
706,184,-4.87,2022-02-02,17
707,124,-276.82,2022-03-19,12
708,290,823.04,2022-07-26,14
709,367,-37.93,2022-04-29,14
710,128,-23.04,2022-01-25,18
711,282,-44.08,2023-05-16,18
712,186,-400.81,2023-07-15,20
713,513,516.62,2023-09-10,11
714,679,437.6,2022-02-18,14
715,641,474.4,2022-05-15,20
716,373,-227.68,2023-09-25,16
717,573,673.26,2023-02-25,14
718,370,-324.19,2023-12-02,20
719,141,282.12,2023-09-24,18
720,362,385.45,2022-10-24,12
721,398,-190.98,2022-01-22,16
722,564,617.04,2022-07-10,10
723,256,-210.96,2023-06-03,11
724,687,-78.79,2022-07-16,20
725,382,16.91,2022-04-09,13
726,601,164.68,2023-11-05,19
727,101,558.15,2022-09-19,16
728,626,-260.64,2022-03-02,17
729,180,-79.89,2022-01-28,18
730,354,873.4,2022-02-13,13
731,136,632.0,2022-01-31,10
732,162,-453.79,2023-12-12,15
733,673,-363.44,2022-10-31,12
734,132,-7.85,2023-02-07,18
735,698,96.71,2023-10-24,19
736,634,452.38,2023-09-03,13
737,101,120.5,2022-06-23,14
738,590,789.0,2022-09-10,16
739,554,-108.68,2023-05-10,19
740,508,-331.47,2023-05-02,18
741,610,630.93,2023-01-25,20
742,641,-445.36,2022-09-07,19
743,531,19.0,2023-01-02,11
744,569,555.01,2023-07-16,14
745,469,445.89,2023-12-01,15
746,499,269.61,2022-03-26,19
747,452,-462.9,2022-04-11,14
748,344,497.97,2023-10-02,20
749,293,-122.02,2022-07-30,12
750,296,684.59,2022-05-12,19
751,128,-342.51,2022-11-20,12
752,378,737.32,2022-02-11,16
753,210,-431.38,2022-12-30,10
754,606,762.61,2022-06-25,17
755,450,67.29,2023-03-16,10
756,450,908.95,2023-05-31,20
757,271,-150.41,2022-12-07,18
758,364,600.05,2023-06-19,15
759,369,241.52,2022-01-07,16
760,190,-461.12,2023-07-08,10
761,672,-479.07,2023-02-05,16
762,594,34.67,2022-02-06,10
763,147,814.64,2022-11-22,20
764,337,732.9,2023-12-18,15
765,555,188.8,2023-09-21,16
766,135,982.47,2023-05-08,20
767,141,400.26,2022-03-26,12
768,122,607.84,2023-01-15,20
769,554,839.7,2022-04-05,18
770,166,814.66,2022-02-15,17
771,285,726.12,2023-06-11,18
772,118,-321.54,2023-09-14,18
773,361,774.05,2022-06-05,18
774,417,846.71,2022-02-06,13
775,692,-374.54,2022-04-28,18
776,629,512.52,2022-03-04,12
777,304,182.26,2022-07-14,15
778,556,-479.28,2022-09-13,14
779,691,638.63,2022-10-14,18
780,239,-274.88,2022-10-06,18
781,238,515.54,2023-10-30,16
782,166,299.13,2024-01-01,11
783,573,967.95,2023-09-21,20
784,416,-44.53,2022-05-12,18
785,593,795.87,2022-01-03,11
786,460,184.19,2022-03-08,13
787,225,-398.35,2022-12-03,17
788,431,-387.65,2022-04-03,17
789,680,723.25,2023-10-07,11
790,161,618.41,2022-04-18,17
791,283,296.24,2022-08-04,10
792,465,653.03,2023-05-09,11
793,158,212.93,2022-07-28,20
794,629,727.93,2023-07-08,10
795,656,787.92,2023-06-13,10
796,164,-159.0,2022-09-02,20
797,446,-317.15,2022-04-30,10
798,512,-106.63,2023-09-07,16
799,182,150.82,2022-06-15,12
800,121,70.75,2023-10-31,11
801,392,336.94,2022-05-23,13
802,418,88.07,2023-05-08,10
803,215,83.41,2023-01-27,13
804,558,-140.31,2022-11-30,12
